pdb,name,n_subunit_uniprots,uniprots,c0_invnm,A_foot_nm2,E_curv_kBT,n_chains,contam_flag,resolution,rank,clears_gate,abs_c0,is_original13,rep_uniprot,n_label_go,label_positive
5ZDH,Type II secretion system lipoprotein,2,"E3PJ86,E3PJ88",-0.0954205360752763,135.757491035,49.44330562609981,15.0,False,3.2,1,True,0.0954205360752763,False,E3PJ86,0,False
6PW5,TRP-like ion channel,1,Q0Z852,-0.1342155220948471,60.382449745,43.50871031698742,4.0,False,3.45,2,True,0.1342155220948471,False,Q0Z852,0,False
8AXL,Outer membrane protein MxiD,1,Q04641,-0.0873597396965092,141.77425047,43.27927867537593,15.0,False,3.42,3,True,0.0873597396965092,False,Q04641,0,False
8GTN,Isoform 4 of Gasdermin-B,1,Q8TAX9,0.0621219373465506,223.40333251500005,34.48574567584302,27.0,False,3.17,4,True,0.0621219373465506,False,Q8TAX9,0,False
5WLN,Type II secretion system protein D,1,P35818,-0.0905887499275242,98.87618645000002,32.45639143673279,15.0,False,3.57,5,True,0.0905887499275242,False,P35818,0,False
5WQ8,Type II secretion system protein D,1,P45779,-0.0743070329684893,127.75838756,28.216897097538627,15.0,False,3.26,6,True,0.0743070329684893,False,P45779,0,False
7BGL,YecR,3,"A0A745A2I3,P0A1N8,P15930",-0.0646352222451124,163.53848335,27.32866707762901,16.0,True,2.2,7,True,0.0646352222451124,False,A0A745A2I3,0,False
5XTH,NADH-ubiquinone oxidoreductase chain 4L,4,"B9EE38,H9PGF0,Q8HAX7,V9JN72",-0.0974246427676555,69.06175944000002,26.220156150527504,2.0,True,3.9,8,True,0.0974246427676555,False,B9EE38,0,False
5WQ7,Putative type II secretion system protein D,1,P45758,-0.0806546672022062,95.27912310999996,24.79229608859138,15.0,False,3.04,9,True,0.0806546672022062,False,P45758,0,False
6MRT,"Hemolysin E, chromosomal",1,P77335,0.1003166121333276,61.23458238499998,24.64917938222352,12.0,False,2.8,10,True,0.1003166121333276,False,P77335,0,False
7CZB,Derlin-1,1,Q9BUN8,-0.1385134341651439,31.115263935,23.8790626134532,4.0,False,3.8,11,True,0.1385134341651439,False,Q9BUN8,0,False
5W68,Putative type II secretion protein,1,B7UI37,-0.0648202987363502,134.98668303,22.68678595152169,15.0,False,3.3,12,True,0.0648202987363502,False,B7UI37,0,False
7B0J,Transient receptor potential cation channel subfamily c member 4a,1,U3N7D8,-0.1128265607206715,43.709184125,22.25642423651685,4.0,False,2.85,13,True,0.1128265607206715,False,U3N7D8,0,False
7STL,Chitin synthase,1,P30572,-0.1785553699856479,15.908901714999995,20.28831700213281,2.0,False,2.95,14,True,0.1785553699856479,False,P30572,0,False
7WFF,"Photosynthetic NDH subunit of subcomplex B 2, chloroplastic",17,"A0A1B1W4Z4,B3H6Z4,O80634,P26288,P26289,P56751,P56752,Q37165,Q94AQ8,Q95695,Q9ASS6,Q9FG89,Q9LU21,Q9S9N6,Q9SCY3,Q9SGH4,Q9XI73",-0.1478328408993663,22.26466456,19.46336796877024,1.0,True,3.59,15,True,0.1478328408993663,False,A0A1B1W4Z4,0,False
7N6Q,Sterol O-acyltransferase 2,1,O75908,0.0806438035323456,73.21940323500002,19.04707018285121,4.0,False,3.87,16,True,0.0806438035323456,False,O75908,0,False
8SI5,Transient receptor potential cation channel subfamily M member 7,1,Q923J1,-0.0968361061977011,50.55980762000001,18.96444075217646,4.0,False,2.17,17,True,0.0968361061977011,False,Q923J1,0,False
6I1X,Type II secretion system protein D,1,P31780,-0.0706800759597433,93.815775425,18.746917967233223,15.0,False,3.7,18,True,0.0706800759597433,False,P31780,0,False
7XE4,"1,3-beta-glucan synthase component FKS1",1,P38631,-0.1320100203086755,26.475818040000007,18.455387771870992,1.0,False,3.4,19,True,0.1320100203086755,False,P38631,0,False
7DXB,Short transient receptor potential channel 3,1,Q13507,-0.0914498028491396,54.563317945,18.25266612893745,4.0,False,2.7,20,True,0.0914498028491396,False,Q13507,0,False
8DDQ,"Transient receptor potential cation channel, subfamily M, member 3",1,J9SQF3,-0.0943682605931934,50.901839205,18.13198563657436,4.0,False,2.7,21,True,0.0943682605931934,False,J9SQF3,0,False
7DLU,Mechanosensitive ion channel MscS,1,Q9HW12,-0.1393257168747537,21.966488100000003,17.056235878583614,7.0,False,2.5,22,True,0.1393257168747537,False,Q9HW12,0,False
6WQZ,Autophagy-related protein 9A,1,Q7Z3C6,-0.103040500996967,39.09670936500001,16.604129826421868,3.0,False,2.8,23,True,0.103040500996967,False,Q7Z3C6,0,False
6J5I,"ATP synthase subunit d, mitochondrial",14,"A0A286ZYL7,A0A287B4I0,A0A4X1TQQ5,A0A8D0MI69,A5GFX4,K7GLT8,P13618,P80021,Q29307,Q2EN81,Q35914,Q35915,Q4VT52,Q95339",-0.1733257009025999,13.687727469999995,16.44815807419123,2.0,True,3.34,24,True,0.1733257009025999,False,A0A286ZYL7,0,False
6W6M,Type IV pilus secretin PilQ family protein,1,Q9KNV0,-0.0677070294091479,87.48113915999998,16.041387903871122,14.0,False,2.7,25,True,0.0677070294091479,False,Q9KNV0,0,False
7MBQ,Transient receptor potential melastatin 5,1,S5UH55,-0.0884133668185683,51.04221442499999,15.95972327879558,4.0,False,2.3,26,True,0.0884133668185683,False,S5UH55,0,False
6BQV,Transient receptor potential cation channel subfamily M member 4,1,Q8TD43,-0.0903797801504163,48.35294891,15.79885153991577,4.0,False,3.1,27,True,0.0903797801504163,False,Q8TD43,0,False
7RSL,Seipin,1,Q06058,0.0750750494548821,68.15577868000001,15.36575588250268,5.0,False,3.45,28,True,0.0750750494548821,False,Q06058,0,False
7EK3,Bestrophin-like protein,1,A0A498JCY7,-0.138909674376389,19.394437935,14.96932356355978,5.0,False,2.7,29,True,0.138909674376389,False,A0A498JCY7,0,False
6KG7,Piezo-type mechanosensitive ion channel component 2,1,Q8CD54,0.033217777674099,320.30592339,14.137288134856716,3.0,False,3.8,30,True,0.033217777674099,False,Q8CD54,0,False
6ZQM,"ATP synthase subunit e, mitochondrial",8,"P00847,P03929,P13620,P14790,Q00361,Q28851,Q28852,Q3ZBI7",-0.1712111007473208,11.947023590000004,14.00823927818615,1.0,True,3.29,31,True,0.1712111007473208,False,P00847,0,False
6S3R,Flagellar biosynthetic protein FliP,2,"Q48GF5,Q48GF6",0.1913585493251538,9.05073779,13.25683083129218,4.0,False,3.5,32,True,0.1913585493251538,False,Q48GF5,0,False
6R6B,Surface presentation of antigens protein SpaP,3,"P0A1L3,P0A1M4,P0A1M6",0.1925855183424431,8.477890880000004,12.577521470666104,4.0,False,3.5,33,True,0.1925855183424431,False,P0A1L3,0,False
7WCO,Capsid protein,1,Q5Y388,-0.091738446019076,37.36024076,12.576865488008051,5.0,True,3.8,34,True,0.091738446019076,False,Q5Y388,1,True
7WL2,Pendrin,1,Q9R155,-0.0912122132613435,37.746909639999984,12.5616700197803,2.0,False,3.25,35,True,0.0912122132613435,False,Q9R155,0,False
6DRJ,"Transient receptor potential cation channel, subfamily M, member 2",1,A0A0R4IMY7,-0.0733818550336901,57.37859347500002,12.359111827245062,4.0,False,3.3,36,True,0.0733818550336901,False,A0A0R4IMY7,0,False
7O0U,Photosynthetic reaction center L subunit,4,"A0A143BHR2,A0A143BHS7,A0A143BHS8,A0A143BJ28",0.1558124779442545,12.653541255,12.287868227999985,2.0,True,2.35,37,True,0.1558124779442545,False,A0A143BHR2,0,False
6P2P,Sterol O-acyltransferase 1,1,P35610,-0.0647220145698566,72.24530188499999,12.105246996526365,4.0,False,3.1,38,True,0.0647220145698566,False,P35610,0,False
6KIG,Photosystem I P700 chlorophyll a apoprotein A1,10,"P15347,P95822,P95823,Q31LJ0,Q31LJ1,Q31NL7,Q31NT9,Q31NU0,Q31PR9,Q31QV2",0.0393789680088514,190.66756917000004,11.826751786788185,6.0,True,2.9,39,True,0.0393789680088514,False,P15347,0,False
6CO7,Predicted protein,1,A7T1N0,-0.0748426303686822,51.13591058999999,11.457347102013989,4.0,False,3.07,40,True,0.0748426303686822,False,A7T1N0,0,False
6PUO,Transient receptor potential cation channel subfamily M member 2,1,O94759,-0.0740314231671897,51.213883365,11.22741810536768,4.0,False,3.3,41,True,0.0740314231671897,False,O94759,0,False
6HWH,Cytochrome c oxidase subunit 1,3,"A0R050,A0R051,A0R0M4",0.0627593575805054,70.70841008500001,11.140073138465738,4.0,True,3.3,42,True,0.0627593575805054,False,A0R050,0,False
7D0I,Autophagy-related protein 9,1,O74312,-0.0859958730333728,37.528581315,11.1013899528826,3.0,False,3.0,43,True,0.0859958730333728,False,O74312,0,False
6ET5,Light-harvesting protein B-1015 beta chain,2,"P04123,P04124",0.1504352306564642,12.0563267,10.913752776946968,2.0,True,2.87,44,True,0.1504352306564642,False,P04123,0,False
8ASI,Cytochrome c1,4,"Q3IY09,Q3IY10,Q3IY11,Q3J2Z2",0.1063267568510808,23.759959655000007,10.744614168413417,2.0,True,2.9,45,True,0.1063267568510808,False,Q3IY09,0,False
6FKF,"ATP synthase subunit b', chloroplastic",8,"P00825,P00833,P05435,P06450,P06451,P06453,P11402,P31853",-0.1923517739791647,7.187637585,10.63747504539239,1.0,True,3.15,46,True,0.1923517739791647,False,P00825,0,False
7XZI,Toc75,6,"A0A2K3CR90,A0A2K3DWN0,A8HYJ1,A8IE32,A8IZ79,P36495",0.0837032126113718,37.655779764999984,10.552998843014706,1.0,True,2.77,47,True,0.0837032126113718,False,A0A2K3CR90,0,False
6GY6,XaxA,1,D3VB22,0.0706597247103663,51.60735123999998,10.306600510714144,13.0,False,4.0,48,True,0.0706597247103663,False,D3VB22,0,False
2YIU,CYTOCHROME B,3,"P05417,P05418,P13627",0.1019607949260612,23.671997315,9.843766868775695,2.0,True,2.7,49,False,0.1019607949260612,False,P05417,0,False
6BCQ,Transient receptor potential cation channel subfamily M member 4,1,Q7TN37,-0.0706195048722014,49.16763121,9.80818419936378,4.0,False,3.25,50,False,0.0706195048722014,False,Q7TN37,0,False
7TLJ,14 kDa peptide of ubiquinol-cytochrome c2 oxidoreductase complex,1,P16536,0.1013572533153771,23.54923615000001,9.677127927070348,2.0,True,2.91,51,False,0.1013572533153771,False,P16536,0,False
2QJY,Ubiquinol-cytochrome c reductase iron-sulfur subunit,3,"Q02760,Q02761,Q02762",0.1008966309394657,23.596024175000004,9.608423870742651,2.0,True,2.4,52,False,0.1008966309394657,False,Q02760,0,False
7RH7,LpqE protein,4,"A0R052,A0R562,I7FPH1,I7GD61",0.0588939580520361,69.204447135,9.601420275863456,4.0,True,3.0,53,False,0.0588939580520361,False,A0R052,0,False
7RH5,Superoxide dismutase [Cu-Zn],1,A0QQQ1,0.0588238347569644,69.14994517000001,9.57102603022741,4.0,True,3.0,54,False,0.0588238347569644,False,A0QQQ1,0,False
3JQO,TraO protein,2,"Q46704,Q46705",-0.10136636341951,23.28311706,9.569491155222682,14.0,False,2.6,55,False,0.10136636341951,False,Q46704,0,False
6LMV,Calcium homeostasis modulator protein,1,Q18593,-0.0610020337228387,63.149993165000005,9.399871729493022,9.0,False,3.6,56,False,0.0610020337228387,False,Q18593,0,False
5IWS,Protein-N(Pi)-phosphohistidine-sugar phosphotransferase (Enzyme II of the phosphotransferase system) (PTS system glucose-specific IIBC component),1,Q63GK8,0.100430282711491,23.238728145000003,9.375657141373347,2.0,False,2.551,57,False,0.100430282711491,False,Q63GK8,0,False
7JJP,Gap junction alpha-8 protein,1,P55917,0.0929408078590128,26.776783100000003,9.251907419102768,6.0,False,1.94,58,False,0.0929408078590128,False,P55917,0,False
6OQT,ATP synthase subunit delta,8,"P0A6E6,P0AB98,P0ABA0,P0ABA4,P0ABA6,P0ABB0,P0ABB4,P68699",-0.1715853123785305,7.840516004999999,9.233468170227498,1.0,True,3.1,59,False,0.1715853123785305,False,P0A6E6,0,False
6SH3,Mitochondrial chaperone BCS1,1,P32839,-0.1908969372021515,6.208650675,9.05013666860759,7.0,False,3.4,60,False,0.1908969372021515,False,P32839,0,False
7JKC,Gap junction alpha-3 protein,1,Q9TU17,-0.0905217004720078,26.972801105,8.840797613091187,6.0,False,1.9,61,False,0.0905217004720078,False,Q9TU17,0,False
5Y5S,LH1 beta polypeptide,6,"A8ASG6,D2Z0P1,D2Z0P2,D2Z0P3,D2Z0P5,D2Z0P9",0.1163673124488142,15.560669885000006,8.428499961370395,3.0,True,1.9,62,False,0.1163673124488142,False,A8ASG6,0,False
6ZKA,NADH-ubiquinone oxidoreductase chain 1,7,"O78747,O78748,O78753,O78754,O78755,O78756,O78757",0.0814578134635107,30.876394385000005,8.19505867792194,1.0,True,2.5,63,False,0.0814578134635107,False,O78747,0,False
5C8J,Protein MJ0480,1,Q57904,-0.1770239014024621,6.444479745000002,8.0781454791008,1.0,False,3.502,64,False,0.1770239014024621,False,Q57904,0,False
