rank,protein,leg,mechanism,rep_pdb,basis,c0_invnm,A_footprint_nm2,dA_nm2,E_bend_kBT,E_tension_kBT,E_curv_kBT,E_curv_signed,clears_gate,not_measurable,n_label_go,label_positive
1,Dynamin-1,exocytic,scaffold,3ZVR,arc-fit intrinsic curvature (validated vs lit),0.1287000030279159,118.1999969482422,0.0,78.31999969482422,0.0,78.31999969482422,78.31999969482422,True,False,1,True
2,Endophilin-A1 N-BAR,exocytic,scaffold,2C08,arc-fit intrinsic curvature (validated vs lit),0.1255999952554702,58.70000076293945,0.0,37.040000915527344,0.0,37.040000915527344,37.040000915527344,True,False,2,True
3,Amphiphysin N-BAR,exocytic,scaffold,4ATM,arc-fit intrinsic curvature (validated vs lit),0.1019999980926513,66.30000305175781,0.0,27.57999992370605,0.0,27.57999992370605,27.57999992370605,True,False,1,True
4,TRPV4,mechanosensitive,transition,8FC7,"TM cone, stoichiometry-checked chains",-0.0606,81.6,0.0,12.0,0.0,12.0,-12.0,True,False,0,False
5,MscL,mechanosensitive,transition,2OAR,"TM cone, stoichiometry-checked chains",0.0885,16.5,0.0,5.19,0.0,5.19,-5.19,False,False,0,False
6,Epsin-1 ENTH,exocytic,scaffold,1H0A,helix-0 insertion Δc0 (2-state),-0.14,5.6,0.0,4.4,0.0,4.4,4.4,False,False,1,True
7,MscS,mechanosensitive,transition,2VV5,TM cone + tension γΔA (2-state),-0.0431,31.1,12.4,2.31,0.03,2.34,-2.34,False,False,0,False
8,Piezo1,mechanosensitive,transition,6B3R,"TM cone, stoichiometry-checked chains",0.0147,262.3,0.0,2.27,0.0,2.27,-2.27,False,False,0,False
9,TRAAK (K2P4.1),mechanosensitive,transition,4WFF,"TM cone, stoichiometry-checked chains",0.0175,15.6,0.0,0.19,0.0,0.19,-0.19,False,False,0,False
10,OSCA1.2,mechanosensitive,transition,6MGV,"TM cone, stoichiometry-checked chains",-0.0067,34.5,0.0,0.06,0.0,0.06,-0.06,False,False,0,False
11,nhTMEM16 scramblase,exocytic,transition,6QMB,TM cone + tension γΔA (2-state),-0.0025,93.9,-3.6,0.02,0.01,0.03,0.03,False,False,0,False
12,TREK-1 (K2P2.1),mechanosensitive,transition,4TWK,"TM cone, stoichiometry-checked chains",-0.0053,16.9,0.0,0.02,0.0,0.02,-0.02,False,False,0,False
13,Synaptotagmin-1 C2AB,exocytic,scaffold,1RSY,peripheral sensor — TM curvature not measurable (reported 0),0.0,0.6,0.0,0.0,0.0,0.0,0.0,False,True,2,True
