pid,protein,method,A_mid,A_out,A_in,r_out,r_in,c0_shape_invA,V_wedge_A3,charge_moment_eA,net_charge_slab
1EDU,Epsin-1 ENTH,inertia_scaffold,694.3988424921249,647.6446342342721,475.1047124087511,14.35798348691953,12.297582157977729,0.006441435647343654,-3866.907845717924,-50.04196662728575,2
1H0A,Epsin-1 ENTH,inertia_scaffold,560.987307667903,438.1157639655832,634.539052976625,11.809173508895926,14.211968678974769,-0.007695009288763607,-1508.21752463745,-66.30585776541484,1
1RSY,Synaptotagmin-1 C2AB,OPM,60.772575148985595,,205.18514755788908,,8.081612522619231,,733.8566932229633,13.646000385284424,-1
2C08,Endophilin-A1 N-BAR,inertia_scaffold,286.9696318100969,219.18532604580363,226.66447206772696,8.352775358334307,8.494088668349722,-0.0006990089757535189,-1914.5930214268683,-23.812981250044107,-4
2OAR,MscL,symmetry_axis,1318.8306006332843,1932.6300901361803,1254.4575266945076,24.802726947386585,19.982648286564228,0.008968847969608987,3302.879353674871,-37.315273968263035,7
2OAU,MscS,OPM,1648.5216074372431,1146.4080948153319,2455.237439050605,19.102696934748366,27.955792776782058,-0.01567746843042804,-9495.012871925312,-40.89800500869751,7
2VV5,MscS,OPM,2891.5731249417254,2751.2659726316792,3387.2496017516987,29.593160672860307,32.83588030203657,-0.004328540556523182,-2000.9100607799483,-144.5049901008606,21
3ZVR,Dynamin-1,inertia_scaffold,381.4672605381422,770.8436966795862,345.5452959642906,15.66420024628042,10.48763480627246,0.01649522691111828,2610.2883114992037,-66.32351887901349,-6
4ATM,Amphiphysin N-BAR,inertia_scaffold,272.5092150149091,181.21165372674395,189.32678774174613,7.594831194499082,7.763027003535277,-0.0009126479251824889,-2443.6984238216583,-20.879939040627534,1
4I9W,TRAAK (K2P4.1),symmetry_axis_channelchains,1430.0611776326325,1651.1865309184614,1399.4586643961186,22.92572783413568,21.10595954186514,0.003444050562819589,-776.7747834186594,-107.15529624547179,-5
4TWK,TREK-1 (K2P2.1),symmetry_axis,1528.0004408726618,1390.9518176007814,1477.2335967614429,21.04171368371981,21.684511939446704,-0.0012537152657250013,-5221.087600553532,-21.853999385784704,-2
4WFF,TRAAK (K2P4.1),OPM,1374.9638181122102,1541.5755920120635,1476.2090748495546,22.151721180013748,21.676991087299008,0.000902623851193227,-148.0536272618192,-16.539999961853027,5
6B3R,Piezo1,symmetry_axis,25342.44068541477,24148.776999902446,21414.30408789517,87.67436602745805,82.56139955768067,0.0025028849706381015,-105220.81700306851,126.60892280093448,36
6MGV,OSCA1.2,symmetry_axis,2865.3486532512793,2589.1266593765877,2589.1125147647404,28.707918981730106,28.707840564761966,1.1381452403725866e-07,-11768.842985558484,0.016231108863667743,4
6QM4,nhTMEM16 scramblase,symmetry_axis,8967.895125476229,8679.58957451894,8682.727123961833,52.562336036245,52.57183545010773,-7.5295958554891494e-06,-22003.04443416139,-15.06756468628372,-23
6QMB,nhTMEM16 scramblase,symmetry_axis,8606.157880735153,8846.637511410609,8845.564506984238,53.0657345126435,53.06251625629463,2.5270182739246574e-06,-9123.066346531268,0.2814393682471561,-20
8FC7,TRPV4,symmetry_axis,19005.96744784115,12338.644808708612,21175.82036140053,62.669870150832914,82.10038348927367,-0.011184683345898923,-84226.85631810525,157.78008895698866,26
