pdb,name,n_subunit_uniprots,uniprots,c0_invnm,A_foot_nm2,E_curv_kBT,n_chains,contam_flag,resolution,rank,clears_gate,abs_c0,is_original13,known_curvature,max_n_go,cls
5ZDH,Type II secretion system lipoprotein,2,"E3PJ86,E3PJ88",-0.0954205360752763,135.757491035,49.44330562609981,15.0,False,3.2,1,True,0.0954205360752763,False,False,5,Secretion / secretin
6PW5,TRP-like ion channel,1,Q0Z852,-0.1342155220948471,60.382449745,43.50871031698742,4.0,False,3.45,2,True,0.1342155220948471,False,False,8,Channel (mechano/TRP)
8AXL,Outer membrane protein MxiD,1,Q04641,-0.0873597396965092,141.77425047,43.27927867537593,15.0,False,3.42,3,True,0.0873597396965092,False,False,6,Secretion / secretin
8GTN,Isoform 4 of Gasdermin-B,1,Q8TAX9,0.0621219373465506,223.40333251500005,34.48574567584302,27.0,False,3.17,4,True,0.0621219373465506,False,False,8,Pore-former / lytic
5WLN,Type II secretion system protein D,1,P35818,-0.0905887499275242,98.87618645000002,32.45639143673279,15.0,False,3.57,5,True,0.0905887499275242,False,False,6,Secretion / secretin
5WQ8,Type II secretion system protein D,1,P45779,-0.0743070329684893,127.75838756,28.216897097538627,15.0,False,3.26,6,True,0.0743070329684893,False,False,6,Secretion / secretin
5WQ7,Putative type II secretion system protein D,1,P45758,-0.0806546672022062,95.27912310999996,24.79229608859138,15.0,False,3.04,9,True,0.0806546672022062,False,False,6,Secretion / secretin
6MRT,"Hemolysin E, chromosomal",1,P77335,0.1003166121333276,61.23458238499998,24.64917938222352,12.0,False,2.8,10,True,0.1003166121333276,False,False,5,Pore-former / lytic
7CZB,Derlin-1,1,Q9BUN8,-0.1385134341651439,31.115263935,23.8790626134532,4.0,False,3.8,11,True,0.1385134341651439,False,False,32,ERAD / autophagy remodeler
5W68,Putative type II secretion protein,1,B7UI37,-0.0648202987363502,134.98668303,22.68678595152169,15.0,False,3.3,12,True,0.0648202987363502,False,False,5,Secretion / secretin
7B0J,Transient receptor potential cation channel subfamily c member 4a,1,U3N7D8,-0.1128265607206715,43.709184125,22.25642423651685,4.0,False,2.85,13,True,0.1128265607206715,False,False,6,Channel (mechano/TRP)
7STL,Chitin synthase,1,P30572,-0.1785553699856479,15.908901714999995,20.28831700213281,2.0,False,2.95,14,True,0.1785553699856479,False,False,6,Lipid/wall-synthesizing
7N6Q,Sterol O-acyltransferase 2,1,O75908,0.0806438035323456,73.21940323500002,19.04707018285121,4.0,False,3.87,16,True,0.0806438035323456,False,False,20,Lipid/wall-synthesizing
8SI5,Transient receptor potential cation channel subfamily M member 7,1,Q923J1,-0.0968361061977011,50.55980762000001,18.96444075217646,4.0,False,2.17,17,True,0.0968361061977011,False,False,40,Channel (mechano/TRP)
6I1X,Type II secretion system protein D,1,P31780,-0.0706800759597433,93.815775425,18.746917967233223,15.0,False,3.7,18,True,0.0706800759597433,False,False,5,Secretion / secretin
7XE4,"1,3-beta-glucan synthase component FKS1",1,P38631,-0.1320100203086755,26.475818040000007,18.455387771870992,1.0,False,3.4,19,True,0.1320100203086755,False,False,18,Lipid/wall-synthesizing
7DXB,Short transient receptor potential channel 3,1,Q13507,-0.0914498028491396,54.563317945,18.25266612893745,4.0,False,2.7,20,True,0.0914498028491396,False,False,17,Channel (mechano/TRP)
8DDQ,"Transient receptor potential cation channel, subfamily M, member 3",1,J9SQF3,-0.0943682605931934,50.901839205,18.13198563657436,4.0,False,2.7,21,True,0.0943682605931934,False,False,16,Channel (mechano/TRP)
7DLU,Mechanosensitive ion channel MscS,1,Q9HW12,-0.1393257168747537,21.966488100000003,17.056235878583614,7.0,False,2.5,22,True,0.1393257168747537,False,False,6,Channel (mechano/TRP)
6WQZ,Autophagy-related protein 9A,1,Q7Z3C6,-0.103040500996967,39.09670936500001,16.604129826421868,3.0,False,2.8,23,True,0.103040500996967,False,False,29,ERAD / autophagy remodeler
6W6M,Type IV pilus secretin PilQ family protein,1,Q9KNV0,-0.0677070294091479,87.48113915999998,16.041387903871122,14.0,False,2.7,25,True,0.0677070294091479,False,False,3,Secretion / secretin
7MBQ,Transient receptor potential melastatin 5,1,S5UH55,-0.0884133668185683,51.04221442499999,15.95972327879558,4.0,False,2.3,26,True,0.0884133668185683,False,False,11,Channel (mechano/TRP)
6BQV,Transient receptor potential cation channel subfamily M member 4,1,Q8TD43,-0.0903797801504163,48.35294891,15.79885153991577,4.0,False,3.1,27,True,0.0903797801504163,False,False,42,Channel (mechano/TRP)
7RSL,Seipin,1,Q06058,0.0750750494548821,68.15577868000001,15.36575588250268,5.0,False,3.45,28,True,0.0750750494548821,False,False,16,Lipid/wall-synthesizing
7EK3,Bestrophin-like protein,1,A0A498JCY7,-0.138909674376389,19.394437935,14.96932356355978,5.0,False,2.7,29,True,0.138909674376389,False,False,4,Channel (mechano/TRP)
6KG7,Piezo-type mechanosensitive ion channel component 2,1,Q8CD54,0.033217777674099,320.30592339,14.137288134856716,3.0,False,3.8,30,True,0.033217777674099,False,False,18,Channel (mechano/TRP)
6S3R,Flagellar biosynthetic protein FliP,2,"Q48GF5,Q48GF6",0.1913585493251538,9.05073779,13.25683083129218,4.0,False,3.5,32,True,0.1913585493251538,False,False,5,Secretion / secretin
6R6B,Surface presentation of antigens protein SpaP,3,"P0A1L3,P0A1M4,P0A1M6",0.1925855183424431,8.477890880000004,12.577521470666104,4.0,False,3.5,33,True,0.1925855183424431,False,False,4,Secretion / secretin
7WL2,Pendrin,1,Q9R155,-0.0912122132613435,37.746909639999984,12.5616700197803,2.0,False,3.25,35,True,0.0912122132613435,False,False,22,Other membrane enzyme
6DRJ,"Transient receptor potential cation channel, subfamily M, member 2",1,A0A0R4IMY7,-0.0733818550336901,57.37859347500002,12.359111827245062,4.0,False,3.3,36,True,0.0733818550336901,False,False,15,Channel (mechano/TRP)
6P2P,Sterol O-acyltransferase 1,1,P35610,-0.0647220145698566,72.24530188499999,12.105246996526365,4.0,False,3.1,38,True,0.0647220145698566,False,False,17,Lipid/wall-synthesizing
6CO7,Predicted protein,1,A7T1N0,-0.0748426303686822,51.13591058999999,11.457347102013989,4.0,False,3.07,40,True,0.0748426303686822,False,False,9,Other membrane enzyme
6PUO,Transient receptor potential cation channel subfamily M member 2,1,O94759,-0.0740314231671897,51.213883365,11.22741810536768,4.0,False,3.3,41,True,0.0740314231671897,False,False,42,Channel (mechano/TRP)
7D0I,Autophagy-related protein 9,1,O74312,-0.0859958730333728,37.528581315,11.1013899528826,3.0,False,3.0,43,True,0.0859958730333728,False,False,16,ERAD / autophagy remodeler
6GY6,XaxA,1,D3VB22,0.0706597247103663,51.60735123999998,10.306600510714144,13.0,False,4.0,48,True,0.0706597247103663,False,False,0,Other membrane enzyme
