uniprot,entity,pdb,name,resolution,method
O57385,1MC2_1,1MC2,Acutohaemonlysin,0.85,X-ray
W8FKE7,7R25_1,7R25,Lipase,0.87,X-ray
P01559,1ETN_1,1ETN,5-BETA-MERCAPTOPROPIONATE HEAT-STABLE ENTEROTOXIN,0.89,X-ray
P01270,1ET1_1,1ET1,PARATHYROID HORMONE,0.9,X-ray
P49913,5NMN_1,5NMN,Cathelicidin antimicrobial peptide,0.95,X-ray
P01484,1AHO_1,1AHO,TOXIN II,0.96,X-ray
P00593,1G4I_1,1G4I,PHOSPHOLIPASE A2,0.97,X-ray
Q38PT6,2PNE_1,2PNE,6.5 kDa glycine-rich antifreeze protein,0.98,X-ray
P31749,1UNQ_1,1UNQ,RAC-ALPHA SERINE/THREONINE KINASE,0.98,X-ray
P22364,1SFD_1,1SFD,Amicyanin,0.99,X-ray
P03332,1MN8_1,1MN8,Core protein p15,1.0,X-ray
Q53I06,3E7R_1,3E7R,Plectasin,1.0,X-ray
P79073,1R2M_1,1R2M,Hydrophobin II,1.0,X-ray
Q53UJ4,5XQP_1,5XQP,Ice-structuring protein,1.0,X-ray
P21707,1TJX_1,1TJX,similar to synaptotagminI/p65,1.04,X-ray
Q2PAY4,6CNU_2,6CNU,JzTx-V,1.05,X-ray
Q874E9,2CZQ_1,2CZQ,cutinase-like protein,1.05,X-ray
P17728,2YEO_1,2YEO,ALPHA-INSECT TOXIN LQHAIT,1.08,X-ray
A0A1Y1BQV9,7COF_1,7COF,Alpha/beta hydrolase,1.084,X-ray
S5DM51,7AVP_1,7AVP,Bacteriorhodopsin,1.09,X-ray
P50985,1AKG_1,1AKG,ALPHA-CONOTOXIN PNIB,1.1,X-ray
P56638,1A0M_1,1A0M,ALPHA-CONOTOXIN [TYR15]-EPI,1.1,X-ray
P01275,6PHI_1,6PHI,Glucagon,1.1,X-ray
P09215,7LF3_1,7LF3,Protein kinase C delta type,1.13,X-ray
P58242,5KAR_1,5KAR,Acid sphingomyelinase-like phosphodiesterase 3b,1.142,X-ray
F2QVG4,2W2E_1,2W2E,AQUAPORIN PIP2-7 7,1.15,X-ray
P40343,1VFY_1,1VFY,PHOSPHATIDYLINOSITOL-3-PHOSPHATE BINDING FYVE DOMAIN OF PROTEIN VPS27,1.15,X-ray
P44741,3M73_1,3M73,Tellurite resistance protein tehA homolog,1.15,X-ray
Q99685,7ZPG_1,7ZPG,Monoglyceride lipase,1.16,X-ray
P15226,1NPI_1,1NPI,Toxin VII,1.16,X-ray
P14598,1KQ6_1,1KQ6,neutrophil cytosol factor 1,1.18,X-ray
Q41951,5I32_1,5I32,Aquaporin TIP2-1,1.18,X-ray
P60022,1IJV_1,1IJV,Beta-defensin 1,1.2,X-ray
P05067,3JQL_2,3JQL,Amyloid Beta Peptide,1.2,X-ray
P07360,1LF7_1,1LF7,Complement Protein C8gamma,1.2,X-ray
Q26292,2I61_1,2I61,Insect toxin 2,1.2,X-ray
Q1K8B6,5TKG_1,5TKG,Lytic polysaccharide monooxygenase,1.2,X-ray
Q7A1I3,2W5Q_1,2W5Q,PROCESSED GLYCEROL PHOSPHATE LIPOTEICHOIC ACID SYNTHASE,1.2,X-ray
P01175,1XY2_1,1XY2,OXYTOCIN,1.2,X-ray
P01494,2SN3_1,2SN3,SCORPION NEUROTOXIN (VARIANT 3),1.2,X-ray
P45697,1DJT_1,1DJT,ALPHA-LIKE NEUROTOXIN BMK M1,1.2,X-ray
Q5U780,4FKB_1,4FKB,Thermostable organic solvent tolerant lipase,1.22,X-ray
B3A043,3H4X_1,3H4X,Phosphatidylinositol-specific phospholipase C1,1.23,X-ray
P51151,1WMS_1,1WMS,Ras-related protein Rab-9A,1.25,X-ray
P81030,3NEQ_1,3NEQ,Three-finger muscarinic toxin 7,1.25,X-ray
O75747,2WWE_1,2WWE,"PHOSPHOINOSITIDE-3-KINASE, CLASS 2, GAMMA POLYPEPTIDE",1.25,X-ray
Q52369,1M70_1,1M70,Cytochrome c4,1.25,X-ray
C4N147,3PPT_1,3PPT,ReP1-NCXSQ,1.28,X-ray
P47709,2CM5_1,2CM5,RABPHILIN-3A,1.28,X-ray
Q7LST4,3G7N_1,3G7N,Lipase,1.3,X-ray
P00428,7COH_6,7COH,Cytochrome c oxidase subunit 5B,1.3,X-ray
P13183,7COH_11,7COH,Cytochrome c oxidase subunit 7B,1.3,X-ray
P00430,7COH_12,7COH,"Cytochrome c oxidase subunit 7C, mitochondrial",1.3,X-ray
P00426,7COH_5,7COH,Cytochrome c oxidase subunit 5A,1.3,X-ray
P07470,7COH_10,7COH,Cytochrome c oxidase subunit 7A1,1.3,X-ray
P00429,7COH_8,7COH,Cytochrome c oxidase subunit 6B1,1.3,X-ray
P07471,7COH_7,7COH,"Cytochrome c oxidase subunit 6A2, mitochondrial",1.3,X-ray
P10175,7COH_13,7COH,Cytochrome c oxidase subunit 8B,1.3,X-ray
P37957,1ISP_1,1ISP,lipase,1.3,X-ray
P00415,7COH_3,7COH,Cytochrome c oxidase subunit 3,1.3,X-ray
O95750,1PWA_1,1PWA,Fibroblast growth factor-19,1.3,X-ray
P00423,7COH_4,7COH,Cytochrome c oxidase subunit 4 isoform 1,1.3,X-ray
P68530,7COH_2,7COH,Cytochrome c oxidase subunit 2,1.3,X-ray
P00396,7COH_1,7COH,Cytochrome c oxidase subunit 1,1.3,X-ray
A0A0H2UNQ9,2WTS_1,2WTS,PUTATIVE SORTASE,1.3,X-ray
P04038,7COH_9,7COH,Cytochrome c oxidase subunit 6C,1.3,X-ray
P96787,6GUX_1,6GUX,Archaerhodopsin-3,1.3,X-ray
Q9H7P6,3TOW_1,3TOW,Multivesicular body subunit 12B,1.34,X-ray
J3KQA0,7TX9_1,7TX9,Synaptotagmin,1.34,X-ray
P11407,3G8H_1,3G8H,"Phospholipase A2, ammodytoxin C",1.35,X-ray
P21579,7TUA_1,7TUA,Synaptotagmin,1.35,X-ray
Q9SPD4,3GNZ_1,3GNZ,25 kDa protein elicitor,1.35,X-ray
P55260,2ZHJ_1,2ZHJ,Annexin A4,1.35,X-ray
Q96N21,5WFB_1,5WFB,AP-4 complex accessory subunit Tepsin,1.382,X-ray
Q9H7X0,5HGZ_1,5HGZ,N-alpha-acetyltransferase 60,1.383,X-ray
