uniprot,pdb,name,resolution,method,ok,reason,n_ca,n_chains,n_span,n_dropped,contam_flag,size_cv,c0_invnm,A_foot_nm2,r_out,r_in,r_mid
O57385,1MC2,Acutohaemonlysin,0.85,X-ray,False,no_TM_span,122,0.0,,,,,,,,,
W8FKE7,7R25,Lipase,0.87,X-ray,False,no_TM_span,192,0.0,,,,,,,,,
P01559,1ETN,5-BETA-MERCAPTOPROPIONATE HEAT-STABLE ENTEROTOXIN,0.89,X-ray,False,too_few_CA,12,,,,,,,,,,
P01270,1ET1,PARATHYROID HORMONE,0.9,X-ray,False,no_TM_span,34,0.0,,,,,,,,,
P49913,5NMN,Cathelicidin antimicrobial peptide,0.95,X-ray,False,no_TM_span,38,0.0,,,,,,,,,
P01484,1AHO,TOXIN II,0.96,X-ray,False,no_TM_span,66,0.0,,,,,,,,,
P00593,1G4I,PHOSPHOLIPASE A2,0.97,X-ray,False,no_TM_span,124,0.0,,,,,,,,,
Q38PT6,2PNE,6.5 kDa glycine-rich antifreeze protein,0.98,X-ray,False,no_TM_span,81,0.0,,,,,,,,,
P31749,1UNQ,RAC-ALPHA SERINE/THREONINE KINASE,0.98,X-ray,False,no_TM_span,117,0.0,,,,,,,,,
P22364,1SFD,Amicyanin,0.99,X-ray,False,no_TM_span,105,0.0,,,,,,,,,
P03332,1MN8,Core protein p15,1.0,X-ray,False,no_TM_span,95,0.0,,,,,,,,,
Q53I06,3E7R,Plectasin,1.0,X-ray,False,no_TM_span,40,0.0,,,,,,,,,
P79073,1R2M,Hydrophobin II,1.0,X-ray,False,no_TM_span,70,0.0,,,,,,,,,
Q53UJ4,5XQP,Ice-structuring protein,1.0,X-ray,False,no_TM_span,70,0.0,,,,,,,,,
P21707,1TJX,similar to synaptotagminI/p65,1.04,X-ray,False,no_TM_span,158,0.0,,,,,,,,,
Q2PAY4,6CNU,JzTx-V,1.05,X-ray,False,no_TM_span,32,0.0,,,,,,,,,
Q874E9,2CZQ,cutinase-like protein,1.05,X-ray,False,no_TM_span,205,0.0,,,,,,,,,
P17728,2YEO,ALPHA-INSECT TOXIN LQHAIT,1.08,X-ray,False,no_TM_span,70,0.0,,,,,,,,,
A0A1Y1BQV9,7COF,Alpha/beta hydrolase,1.084,X-ray,False,no_TM_span,334,0.0,,,,,,,,,
S5DM51,7AVP,Bacteriorhodopsin,1.09,X-ray,True,,231,1.0,1.0,0.0,False,0.0,0.0140544520346877,4.28738136,11.428881335030546,11.034835918005273,11.682105429793491
P50985,1AKG,ALPHA-CONOTOXIN PNIB,1.1,X-ray,False,too_few_CA,16,,,,,,,,,,
P56638,1A0M,ALPHA-CONOTOXIN [TYR15]-EPI,1.1,X-ray,False,too_few_CA,16,,,,,,,,,,
P01275,6PHI,Glucagon,1.1,X-ray,False,no_TM_span,31,0.0,,,,,,,,,
