protein,family,leg,uniprot,curvature_sign,mechanism,n_experimental_states,pdb_states,two_state_pair,note
MscL,Mechanosensitive channel,mechanosensitive,P9WLR3,tension,transition,1,2OAR(closed),False,"M.tb MscL crystallized closed only; open is modeled. Single experimental state -> capacity from pore/tilt geometry, flagged single-state."
MscS,Mechanosensitive channel,mechanosensitive,P0C0S1,tension,transition,2,2OAU(closed); 2VV5(open),True,"Classic closed(2OAU)->open(2VV5) pair, same protein E. coli."
Piezo1,Mechanosensitive channel,mechanosensitive,E2JF22,negative,transition,1,6B3R(curved_dome),False,Domed/curved blade cryo-EM (6B3R). Piezo imprints a membrane dome; single curved state -> intrinsic curvature from blade geometry.
TRAAK (K2P4.1),K2P mechanosensitive channel,mechanosensitive,Q9NYG8,tension,transition,2,4I9W(conformation_A); 4WFF(nonconductive_Kbound),True,Down(nonconductive)->up(conductive) gating states.
TREK-1 (K2P2.1),K2P mechanosensitive channel,mechanosensitive,O95069,tension,transition,1,4TWK(apo),False,Single deposited state; single-state flag.
OSCA1.2,OSCA/TMEM63 mechanosensitive channel,mechanosensitive,Q9C8G5,tension,transition,1,6MGV(resting),False,Placeholder resting; will verify OSCA states.
TRPV4,TRP mechanosensitive channel,mechanosensitive,Q9HBA0,tension,transition,1,8FC7(RhoA_complex),False,"TRPV4-RhoA complex (8FC7); single deposited state used here, single-state flag."
nhTMEM16 scramblase,TMEM16 scramblase,exocytic,G0S317,positive,transition,2,6QM4(Ca_free); 6QMB(Ca_bound),True,Ca-free(6QM4)->Ca-bound(6QMB) opens the lipid groove; clean scramblase pair.
Synaptotagmin-1 C2AB,C2-domain curvature sensor,exocytic,P21707,positive,scaffold,1,1RSY(C2A_apo),False,C2 domain; curvature sensing via Ca-triggered membrane insertion loops. Scaffold/sensor.
Epsin-1 ENTH,ENTH domain,exocytic,O88339,positive,scaffold,2,1EDU(apo_no_helix0); 1H0A(PIP2_helix0_folded),True,ENTH: helix-0 folds & inserts on PIP2 binding (1H0A) -> wedge. apo(1EDU) lacks helix-0. Documented insertion transition.
Amphiphysin N-BAR,N-BAR domain,exocytic,P49418,positive,scaffold,1,4ATM(BAR_dimer),False,Intrinsically curved BAR dimer scaffold; curvature from banana shape.
Endophilin-A1 N-BAR,N-BAR domain,exocytic,O35179,positive,scaffold,1,2C08(BAR_dimer),False,N-BAR scaffold + amphipathic helices.
Dynamin-1,Dynamin GTPase,exocytic,P21575,positive,scaffold,1,3ZVR(stalk),False,Helical constriction machine; scaffold-type constriction.
